file_name	seed	formula_x	formula_y
2022-02-20-21-20_seed_9128.png	9128	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) + (x_i * y_i)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) * (x_i/y_i)
2022-02-20-21-20_seed_356.png	356	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) + (x_i * y_i)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) * (x_i/y_i)
2022-02-20-21-21_seed_1470.png	1470	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) + (x_i * y_i)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) * (x_i/y_i)
2022-02-20-21-22_seed_589.png	589	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) + (x_i * y_i)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) * (x_i/y_i)
2022-02-20-21-22_seed_3030.png	3030	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) + (x_i * y_i)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) * (x_i/y_i)
2022-02-20-21-22_seed_1423.png	1423	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) + (x_i * y_i)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) * (x_i/y_i)
2022-02-20-21-23_seed_2552.png	2552	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) * (y_i^4)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) * (x_i^3)
2022-02-20-21-23_seed_5359.png	5359	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) * (y_i^4)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) * (x_i^3)
2022-02-20-21-24_seed_8142.png	8142	runif(1, -1, 1) * sin(x_i^7) * cos(y_i^9) * (y_i^4)	runif(1, -1, 1) * cos(x_i^5) * sin(y_i^7) * (x_i^3)
2022-02-20-21-24_seed_8867.png	8867	runif(1, -1, 1) * sin(x_i^7) + cos(y_i^9) * (y_i^4)	runif(1, -1, 1) * cos(x_i^5) + sin(y_i^7) * (x_i^3)
2022-02-20-21-24_seed_7752.png	7752	runif(1, -1, 1) * sin(x_i^7) + cos(y_i^9) * (y_i^4)	runif(1, -1, 1) * cos(x_i^5) + sin(y_i^7) * (x_i^3)
2022-02-20-21-25_seed_7239.png	7239	runif(1, -1, 1) * sin(x_i^7) + cos(y_i^9) * (y_i^4)	runif(1, -1, 1) * cos(x_i^5) + sin(y_i^7) * (x_i^3)
2022-02-20-21-26_seed_8915.png	8915	runif(1, -1, 1) * sin(y_i) + cos(x_i^9)	runif(1, -1, 1) * cos(x_i) + sin(y_i^7)
2022-02-20-21-26_seed_7314.png	7314	runif(1, -1, 1) * sin(y_i) + cos(x_i^5)	runif(1, -1, 1) * cos(x_i) + sin(y_i^3)
